,number of cases,City,location_ENG,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Yuan)",Average annual salary per urban employee ( Yuan),Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GRP,Number of theaters,Collections of public libraries (100 people),province
125,3,济宁市,"('Jining', 'Shandong')",875.508,12.595999999999998,85.80462,57988.70400000001,763.4649999999998,52161.2,46.7375,42.31,19.0,21.105,Shandong
126,3,淄博市,"('Zibo', 'Shandong')",431.32,4.994,84.07082,61657.678,719.21,96128.4,53.575,43.105,8.0,55.56,Shandong
127,3,潍坊市,"('Weifang', 'Shandong')",901.002,7.544,85.97424000000001,61677.46,552.04,59039.8,47.9225,43.21250000000001,38.0,171.735,Shandong
128,3,舟山市,"('Zhoushan', 'Zhejiang')",97.17200000000001,-0.8380000000000001,35.06118,83081.45,668.3499999999998,101738.8,39.1625,50.55,9.0,158.455,Zhejiang
129,3,菏泽市,"('Heze', 'Shandong')",1010.532,16.384,51.17397999999999,50256.172,816.655,30488.4,52.16,36.91,23.0,13.07,Shandong
130,3,萍乡市,"('Pingxiang', 'Jiangxi')",199.308,10.526,19.46796,55388.2,517.125,49659.25,54.2925,39.40000000000001,11.0,50.16,Jiangxi
131,3,营口市,"('Yingkou', 'Liaoning')",232.384,0.19399999999999995,25.0961,48522.14,444.765,55980.8,45.8625,46.215,11.0,58.675,Liaoning
132,3,赣州市,"('Ganzhou', 'Jiangxi')",968.166,13.992,56.36502,55578.10400000001,243.02,25761.5,43.5075,42.1,26.0,35.23000000000001,Jiangxi
133,3,达州市,"('Dazhou', 'Sichuan')",678.58,3.922,41.06416,50767.418,413.29,26473.4,44.57749999999999,34.7125,13.0,20.375,Sichuan
134,3,连云港市,"('Lianyungang', 'Jiangsu')",597.0013846153846,3.8559999999999994,116.61156769230769,69281.40953846154,765.4519230769231,93806.40384615384,46.386923076923075,47.06153846153846,20.076923076923077,81.30653846153847,Jiangsu
135,3,邢台市,"('Xingtai', 'Hebei')",841.6542663980001,8.152153283999999,63.45789215188002,56315.60695279201,615.2106410949999,38373.29126061,45.985153542499994,41.8785842425,15.356058,24.057414494999996,Hebei
136,3,郴州市,"('Chenzhou', 'Hunan')",530.2139999999998,4.1819999999999995,36.02994,54325.598,268.445,45197.6,52.12750000000001,38.475,6.0,25.345,Hunan
